,60_40_net
2020-01-10,0.001028580684418577
2020-01-17,0.004252536858530126
2020-01-24,0.001030637893221286
2020-01-31,-0.0014856996787404257
2020-02-07,0.00781608562731709
2020-02-14,0.005946003100824239
2020-02-21,0.0041652401664964605
2020-02-28,-0.02187593568218925
2020-03-06,0.02779831379017867
2020-03-13,-0.06003650751398654
2020-03-20,-0.03842794767843553
2020-03-27,0.055816922681043865
2020-04-03,-0.005045447772543692
2020-04-10,0.03586027427262935
2020-04-17,0.015739665371797405
2020-04-24,0.001838302818217041
2020-05-01,-0.005696908632309815
2020-05-08,0.0036701317085954255
2020-05-15,-0.0015454952562878321
2020-05-22,0.008763561129594338
2020-05-29,0.006375961790416234
2020-06-05,0.0017004454594295674
2020-06-12,-0.0027046416213424088
2020-06-19,0.006853678300736266
2020-06-26,-0.0035770262617439534
2020-07-03,0.011098112437699353
2020-07-10,0.01187043527229723
2020-07-17,0.005498502064941768
2020-07-24,0.005297848446742209
2020-07-31,0.008749969479435793
2020-08-07,0.006723181649103127
2020-08-14,-0.011429160024127904
2020-08-21,0.009220695085329033
2020-08-28,0.0007459138749130335
2020-09-04,-0.004078088843678058
2020-09-11,-0.0049525648151724985
2020-09-18,-0.0041222639732152785
2020-09-25,0.0012843117499426794
2020-10-02,0.0007744001124395383
2020-10-09,0.007919347416310913
2020-10-16,0.003286116064791788
2020-10-23,-0.008851940369258982
2020-10-30,-0.02044932245642615
2020-11-06,0.02978430930732545
2020-11-13,0.005191961100856107
2020-11-20,0.004705798774669322
2020-11-27,0.005419548945441792
2020-12-04,-0.004672834321792961
2020-12-11,0.004691399167191723
2020-12-18,-0.0007638310774255915
2020-12-25,0.0019786685791130187
2021-01-01,0.0056078914101049815
2021-01-08,-0.007315109789131541
2021-01-15,-0.003947674351859259
2021-01-22,0.006827055099860357
2021-01-29,-0.011433336292863727
2021-02-05,0.00793703365066826
2021-02-12,0.0022755431813433254
2021-02-19,-0.011462644376560449
2021-02-26,-0.00904419633828592
2021-03-05,-0.006877683462156791
2021-03-12,0.0023346914333399575
2021-03-19,-0.006304756147081408
2021-03-26,0.010802180761292766
2021-04-02,0.006750996251834684
2021-04-09,0.009505587135495663
2021-04-16,0.009361914682875437
2021-04-23,0.0015742976096691837
2021-04-30,-0.0030781080474744037
2021-05-07,0.00604762443203829
2021-05-14,-0.009998233000997208
2021-05-21,0.00012856988894087147
2021-05-28,0.006259452021098365
2021-06-04,0.006333310854034612
2021-06-11,0.007445653515579919
2021-06-18,0.0017853219167038468
2021-06-25,0.0009266035087957761
2021-07-02,0.013766970811069222
2021-07-09,0.005048230794912045
2021-07-16,0.0006535731258746902
2021-07-23,0.0076631172637630085
2021-07-30,0.0012665533525568983
2021-08-06,-0.00047485004981857567
2021-08-13,0.004536712356745631
2021-08-20,0.0027028549137325217
2021-08-27,0.002905244681871782
2021-09-03,-0.0003565206440371508
2021-09-10,-0.005382096790030944
2021-09-17,-0.00024714916304689467
2021-09-24,-0.0033125230844722685
2021-10-01,-0.010901213267403625
2021-10-08,-0.005437997953956009
2021-10-15,0.014173358854906781
2021-10-22,0.0035192796691461414
2021-10-29,0.01337991328255892
2021-11-05,0.011338766928716191
2021-11-12,-0.005559568399544811
2021-11-19,0.0036605086113897234
2021-11-26,-0.0022856212016091285
2021-12-03,0.005085906630530729
2021-12-10,0.0009204564328050731
2021-12-17,-0.0018492111478566001
2021-12-24,0.0028061571962678883
2021-12-31,0.0024650658206586346
2022-01-07,-0.02054214446150252
2022-01-14,-0.0014225402765801751
2022-01-21,-0.01637030756020785
2022-01-28,0.001954100523088176
2022-02-04,-0.004255900503509534
2022-02-11,-0.008341087014984937
2022-02-18,-0.005000953791532791
2022-02-25,-0.0006063117169693819
2022-03-04,0.0046311378522738535
2022-03-11,-0.02310162401041741
2022-03-18,0.017708591837288876
2022-03-25,-0.00610471163477857
2022-04-01,0.010849163592609578
2022-04-08,-0.023329047161937413
2022-04-15,-0.019872271970526444
2022-04-22,-0.011596544983951485
2022-04-29,-0.013109363701129055
2022-05-06,-0.016929604197241013
2022-05-13,-0.0010727856335555957
2022-05-20,-0.00289857913100442
2022-05-27,0.024706617455122936
2022-06-03,-0.012336047995854754
2022-06-10,-0.02449879480685016
2022-06-17,-0.025275812410304726
2022-06-24,0.02466906880039551
2022-07-01,0.0029182005065288286
2022-07-08,-0.003211701314558845
2022-07-15,0.008136736873544275
2022-07-22,0.01631427052229002
2022-07-29,0.011664616136548105
2022-08-05,-0.0009730883084044903
2022-08-12,0.008772994979768205
2022-08-19,-0.011667311473309766
2022-08-26,-0.012158139202482337
2022-09-02,-0.021042255258874085
2022-09-09,0.006748444376823403
2022-09-16,-0.020754808582545532
2022-09-23,-0.02046429708860376
2022-09-30,-0.02100607169272565
2022-10-07,0.0013330717022462576
2022-10-14,-0.01336521555520499
2022-10-21,-0.00286946084053585
2022-10-28,0.027410466096021845
2022-11-04,-0.01988907287494096
2022-11-11,0.03424127777418385
2022-11-18,0.0040789579751300984
2022-11-25,0.017018999737282138
2022-12-02,0.01910329859724893
2022-12-09,-0.014207648852549725
2022-12-16,-0.003921753194400091
2022-12-23,-0.016503687997566067
2022-12-30,-0.009346370890047443
2023-01-06,0.0249278269363015
2023-01-13,0.01462192325436129
2023-01-20,-0.004104396619537786
2023-01-27,0.010344982279509406
2023-02-03,0.0066219686652990595
2023-02-10,-0.014515742036416767
2023-02-17,-0.004088134259435633
2023-02-24,-0.014170676966021815
2023-03-03,0.010955677913111838
2023-03-10,-0.003119503572062761
2023-03-17,0.009226797156323307
