,RandomSwitch_net
2020-01-10,0.00029868695483818415
2020-01-17,0.002135236937272971
2020-01-24,-0.0016940726489060903
2020-01-31,-0.0019819644121687485
2020-02-07,0.0022860843370973226
2020-02-14,0.004037737327609597
2020-02-21,0.007750210997136988
2020-02-28,-0.014667859174477384
2020-03-06,0.017785470597372965
2020-03-13,-0.06122266172381903
2020-03-20,-0.04108977003813944
2020-03-27,0.05790929516826354
2020-04-03,-0.0023855529594171325
2020-04-10,0.015775183612514804
2020-04-17,0.0013825236136469946
2020-04-24,-0.0012221818683632961
2020-05-01,-0.0013043416920923685
2020-05-08,-0.0009589270629098038
2020-05-15,0.0013118419822917065
2020-05-22,0.0042335506148595
2020-05-29,0.0016488816262972908
2020-06-05,-0.0041653707781685485
2020-06-12,5.351587983601173e-05
2020-06-19,0.004460945191940843
2020-06-26,-0.00019136712518349862
2020-07-03,0.0016992508851338623
2020-07-10,0.003552315533547679
2020-07-17,0.0017768030648910595
2020-07-24,0.003262060601206883
2020-07-31,0.004365928447535459
2020-08-07,0.004671510198794734
2020-08-14,-0.008798200952404273
2020-08-21,0.003582836876377252
2020-08-28,-0.0006550731801259249
2020-09-04,-0.0015149623447444928
2020-09-11,0.000778899541237771
2020-09-18,-0.0001694342092511299
2020-09-25,-0.0025511555015337445
2020-10-02,0.0028633565870394215
2020-10-09,0.0007529267191306205
2020-10-16,-0.0008268186056128304
2020-10-23,-0.001996968188829511
2020-10-30,-0.0032339703294160162
2020-11-06,0.012790161632162837
2020-11-13,-0.000475216843345095
2020-11-20,0.004049893877358096
2020-11-27,-0.0005299857116838378
2020-12-04,-0.0009883402259183692
2020-12-11,0.0029607572062461656
2020-12-18,0.0006220744803337828
2020-12-25,0.0005842570269607868
2021-01-01,0.0010801860044311815
2021-01-08,-0.003697019634011535
2021-01-15,9.544595862886142e-05
2021-01-22,0.0007063587200649082
2021-01-29,-0.0024036842253552155
2021-02-05,0.00019130392794099898
2021-02-12,8.3117832334934e-05
2021-02-19,-0.003977466209162401
2021-02-26,-0.004129115402620707
2021-03-05,-0.00326365788462789
2021-03-12,-0.0009124360179070141
2021-03-19,-0.00268116897094795
2021-03-26,0.0024417775803968946
2021-04-02,0.0018653651564891909
2021-04-09,0.0031813900031808623
2021-04-16,0.004983422863322025
2021-04-23,0.0013802438905228106
2021-04-30,-0.0022012574677970857
2021-05-07,0.006231525806760909
2021-05-14,-0.0023340724672280787
2021-05-21,-5.5363726006175105e-05
2021-05-28,0.002714029613949582
2021-06-04,0.0032862342091329677
2021-06-11,0.003397692798829535
2021-06-18,-0.003638008421595579
2021-06-25,0.00036315220531986706
2021-07-02,0.005811099787400073
2021-07-09,0.002122959995107791
2021-07-16,0.0004966037100088762
2021-07-23,0.0023080058228478945
2021-07-30,0.00203998861514079
2021-08-06,-0.004174567344301668
2021-08-13,0.00115124233073893
2021-08-20,-0.00112780529238045
2021-08-27,0.0013352073370929125
2021-09-03,0.00023337672643998004
2021-09-10,-0.0024930221789434383
2021-09-17,-0.0019412001127997447
2021-09-24,-0.0024552459517466567
2021-10-01,-0.00042328435907204045
2021-10-08,-0.003878355967941027
2021-10-15,0.0011142626813973229
2021-10-22,-0.001807972204107835
2021-10-29,0.0013393345503871176
2021-11-05,0.006237866704475611
2021-11-12,-0.003020295509307946
2021-11-19,-0.002046811055742153
2021-11-26,-0.004844333596456926
2021-12-03,0.0032183112401337173
2021-12-10,0.0008684087998890495
2021-12-17,0.0016916734099408268
2021-12-24,-0.00015939355241315252
2021-12-31,0.0005054258457915663
2022-01-07,-0.008810670334107897
2022-01-14,-0.00011703592821930294
2022-01-21,-0.0006594882861104881
2022-01-28,-0.004251168393476627
2022-02-04,-0.004651948432817779
2022-02-11,-0.0024018282307136673
